question,option_a,option_b,option_c,option_d,correct_answer,category,difficulty,source
Which year did Nigeria gain independence from Britain?,1960,1963,1956,1970,A,history,easy,General Knowledge
Who was Nigeria's first Prime Minister?,Abubakar Tafawa Balewa,Nnamdi Azikiwe,Obafemi Awolowo,Ernest Shonekan,A,history,easy,General Knowledge
Who was Nigeria's first President?,Nnamdi Azikiwe,Abubakar Tafawa Balewa,Yakubu Gowon,Murtala Mohammed,A,history,easy,General Knowledge
In what year was Nigeria declared a Republic?,1963,1960,1966,1970,A,history,easy,General Knowledge
What is the name of the civil war fought in Nigeria between 1967 and 1970?,Biafran War,Lagos War,Delta War,Kano War,A,history,easy,General Knowledge
Which colonial power ruled Nigeria before independence?,Britain,France,Portugal,Germany,A,history,easy,General Knowledge
What was the name of the secessionist republic that triggered Nigeria's civil war?,Biafra,Oduduwa Republic,Arewa Republic,Delta Republic,A,history,easy,General Knowledge
In which year did Nigeria become a federal republic?,1963,1960,1966,1979,A,history,easy,General Knowledge
Who led the first military coup in Nigeria in January 1966?,Chukwuma Nzeogwu,Yakubu Gowon,Murtala Mohammed,Ibrahim Babangida,A,history,easy,General Knowledge
What is the name of Nigeria's national currency?,Naira,Cedi,Franc,Shilling,A,history,easy,General Knowledge
Which Nigerian leader was assassinated in 1966 during a counter-coup?,Aguiyi-Ironsi,Tafawa Balewa,Nzeogwu,Murtala Mohammed,A,history,medium,General Knowledge
What was the name of the agreement that ended the Nigerian Civil War?,Dodan Barracks Agreement,Aburi Accord,Lagos Accord,Port Harcourt Treaty,A,history,medium,General Knowledge
In which year was the Aburi Accord signed?,1967,1966,1968,1970,A,history,medium,General Knowledge
Which military head of state was killed in a road accident in 1976?,Murtala Mohammed,Yakubu Gowon,Olusegun Obasanjo,Ibrahim Babangida,A,history,medium,General Knowledge
Who annulled the June 12 1993 presidential election in Nigeria?,Ibrahim Babangida,Sani Abacha,Ernest Shonekan,Abdulsalami Abubakar,A,history,medium,General Knowledge
Which Yoruba leader won the annulled June 12 1993 election?,MKO Abiola,Bola Tinubu,Olusegun Obasanjo,Bisi Akande,A,history,medium,General Knowledge
What year did Nigeria return to civilian rule after Abacha's death?,1999,1998,2000,1997,A,history,medium,General Knowledge
The amalgamation of Northern and Southern Nigeria took place in which year?,1914,1900,1920,1906,A,history,medium,General Knowledge
Who was the British governor-general responsible for Nigeria's amalgamation?,Lord Frederick Lugard,Herbert Macaulay,Walter Egerton,James Robertson,A,history,medium,General Knowledge
Which year did Sani Abacha die?,1998,1997,1999,2000,A,history,medium,General Knowledge
What was the name of the first Nigerian newspaper founded in 1880?,Lagos Times,West African Pilot,Nigerian Tribune,Daily Times,A,history,hard,General Knowledge
Herbert Macaulay is considered the father of Nigerian nationalism. What profession was he trained in?,Civil engineering,Law,Medicine,Teaching,A,history,hard,General Knowledge
The Aba Women's Riot of 1929 was primarily a protest against what?,Taxation,Land seizure,Forced labour,Missionary activities,A,history,hard,General Knowledge
What was the name of the political party founded by Herbert Macaulay and Nnamdi Azikiwe in 1944?,National Council of Nigeria and the Cameroons,Action Group,Northern Peoples Congress,United Progressive Grand Alliance,A,history,hard,General Knowledge
In which year was the University of Ibadan (originally University College Ibadan) founded?,1948,1952,1945,1960,A,history,hard,General Knowledge
What was the name of Nigeria's currency before the Naira was introduced in 1973?,Pound,Shilling,Dollar,Mark,A,history,hard,General Knowledge
Which Nigerian traditional ruler signed the treaty with the Royal Niger Company in 1884?,Jaja of Opobo,Oba of Benin,Attah of Igala,Sultan of Sokoto,A,history,hard,General Knowledge
The Sokoto Caliphate was founded in which year?,1804,1800,1817,1830,A,history,hard,General Knowledge
Who founded the Sokoto Caliphate?,Usman dan Fodio,Muhammed Bello,Bello Gwandu,Aliyu Jedo,A,history,hard,General Knowledge
"The Berlin Conference that partitioned Africa, including what is now Nigeria, took place in which year?",1884,1880,1890,1900,A,history,hard,General Knowledge
What type of government system does Nigeria operate?,Federal republic,Unitary state,Constitutional monarchy,Confederation,A,politics,easy,General Knowledge
How many states does Nigeria have?,36,30,34,40,A,politics,easy,General Knowledge
What is the capital city of Nigeria?,Abuja,Lagos,Kano,Ibadan,A,politics,easy,General Knowledge
In which year was Abuja made the capital of Nigeria?,1991,1985,1976,2000,A,politics,easy,General Knowledge
What is the upper house of Nigeria's National Assembly called?,Senate,House of Representatives,House of Lords,Federal Council,A,politics,easy,General Knowledge
How many senators does each Nigerian state send to the Senate?,3,2,4,5,A,politics,easy,General Knowledge
Who was Nigeria's president from 1999 to 2007?,Olusegun Obasanjo,Umaru Yar'Adua,Goodluck Jonathan,Muhammadu Buhari,A,politics,easy,General Knowledge
Which political party does Bola Tinubu belong to?,APC,PDP,LP,NNPP,A,politics,easy,General Knowledge
What does APC stand for in Nigerian politics?,All Progressives Congress,African People's Congress,All People's Congress,Alliance for Progressive Change,A,politics,easy,General Knowledge
What does PDP stand for in Nigerian politics?,Peoples Democratic Party,Progressive Democratic Party,Pan Democratic Party,People's Development Party,A,politics,easy,General Knowledge
Who became Nigeria's president after the death of Umaru Yar'Adua?,Goodluck Jonathan,Olusegun Obasanjo,Muhammadu Buhari,Atiku Abubakar,A,politics,medium,General Knowledge
Muhammadu Buhari first came to power as a military head of state in which year?,1983,1985,1979,1990,A,politics,medium,General Knowledge
Which Nigerian president was known for the phrase 'I will not steal'?,Umaru Yar'Adua,Goodluck Jonathan,Olusegun Obasanjo,Muhammadu Buhari,A,politics,medium,General Knowledge
Nigeria's current constitution was adopted in which year?,1999,1989,1979,2000,A,politics,medium,General Knowledge
Which zone does the FCT (Federal Capital Territory) belong to for senatorial representation?,It has one senator,It has three senators,It has no senator,It has two senators,A,politics,medium,General Knowledge
Who was Nigeria's vice president under Goodluck Jonathan?,Namadi Sambo,Atiku Abubakar,Kayode Fayemi,Rotimi Amaechi,A,politics,medium,General Knowledge
The INEC in Nigeria stands for what?,Independent National Electoral Commission,International Nigerian Electoral Committee,Independent Nigerian Electoral Council,Integrated National Election Commission,A,politics,medium,General Knowledge
Who was the Labour Party presidential candidate in the 2023 elections?,Peter Obi,Atiku Abubakar,Bola Tinubu,Rabiu Kwankwaso,A,politics,medium,General Knowledge
Which Nigerian governor served the longest consecutive tenure as governor?,Chimaroke Nnamani of Enugu,Bola Tinubu of Lagos,James Ibori of Delta,Orji Uzor Kalu of Abia,A,politics,medium,General Knowledge
Bola Tinubu became Nigeria's president in which year?,2023,2022,2024,2021,A,politics,medium,General Knowledge
What was the name of the constitutional conference held in 2005 under Obasanjo?,National Political Reform Conference,Sovereign National Conference,Constitutional Drafting Committee,Political Reform Dialogue,A,politics,hard,General Knowledge
Which Nigerian politician famously said 'stomach infrastructure'?,Fayose,Wike,Ortom,Lalong,A,politics,hard,General Knowledge
Who was Nigeria's Attorney General and Minister of Justice when the 1999 constitution was drafted?,Kanu Agabi,Bola Ige,Mike Aondoakaa,Mohammed Bello Adoke,A,politics,hard,General Knowledge
The concept of 'federal character' in Nigeria is enshrined in which section of the 1999 constitution?,Section 14,Section 10,Section 3,Section 40,A,politics,hard,General Knowledge
Which Nigerian senator sponsored the anti-same sex marriage bill signed by Goodluck Jonathan?,Domingo Obende,Ahmed Lawan,Andy Uba,Heineken Lokpobiri,A,politics,hard,General Knowledge
The Nigerian Supreme Court has how many justices including the Chief Justice?,21,15,18,25,A,politics,hard,General Knowledge
